X,Y,Horizontal_Angle,Vertical_Angle,Velocity,Distance_to_goal,IfLeft
-30.0,27.0,52.7630010541523,14.208712385623405,32.999966218439056,42.140864965019404,0
-30.0,28.0,53.8610873212983,14.262933437262909,32.99887006167787,41.54338094089117,0
-30.0,29.0,54.990791068103064,13.7621760513551,32.99812437619799,40.9615978692238,0
-30.0,30.0,56.15258091763708,14.083365707907651,32.999987540116436,40.39619412766504,0
-30.0,31.0,57.34684693855031,13.672428764600511,32.999027708438625,39.84786694416653,0
-30.0,32.0,58.57388843504354,13.708332957491944,32.99864280125951,39.31733078427374,0
-30.0,33.0,59.83390112663791,13.761408319363868,32.99992976164206,38.80531535756409,0
-30.0,34.0,61.12696386808963,13.692443076994444,32.993958393260776,38.31256321365095,0
-30.0,35.0,62.453025104310555,13.697905588579335,32.854364622234144,37.8398269023525,0
-29.0,0.0,31.798912824294412,19.085099099756594,32.99975391212642,61.77177753634745,0
-29.0,1.0,26.297420054585793,17.7856256115039,32.99979697179309,57.445213029459644,1
-29.0,2.0,26.74629463584938,17.71280453551983,32.99961699760132,56.55044208492096,1
-29.0,3.0,33.32795014557163,18.296818416276565,32.99996417752761,59.24316416262723,0
-29.0,4.0,27.6878953304876,17.130347007139786,32.99988010373279,54.77182213510885,1
-29.0,5.0,28.181937314834187,17.021457286052442,32.9997127710785,53.88833361684141,1
-29.0,6.0,34.99202019855866,17.91321464261886,32.99996493197795,56.76048361316172,0
-29.0,7.0,35.57934744245536,17.385048141715046,32.99957086252784,55.944190940615094,0
-29.0,8.0,29.76567579621542,16.49546838491252,32.999986601262435,51.26355918193742,1
